id,raw
ZISLMWMKU0,"Winter is fast approaching. This is a four year testament review to a barrel kit heater. I purchased everything I needed to put a barrel heater in my shop four years ago and could not be any happier. On the coldest days this system will run you out of my shop. As one can see, I sat the heater on blocks for better air flow, used black stove pipe, and a heater barrel sold here at The Home Depot. I learned that the key to a long lasting system is to apply high heat paint on my stove components and change the pipe and barrel out if pin holes appear. I highly recommend adding 5- 6 inches of dirt (yes dirt) or sand-spread out evenly to the bottom and getting a grate for the wood to sit on. This keeps the heater bottom from burning out prematurely. An old trick used by many wood heating people. The heat is regulated by the damper and the air flow door on the kit. I do not recommend this type of system for indoor applications. The Home Depot sells many quality stoves and triple wall pipe systems for safe in- home use. I highly recommend this simple kit and type of heater solution for those on a budget. Now is the time to get ready for the colder days ahead!"
TWTMRMQPJR,"Nicely built, works well in outdoor shop."
OFWAU2KJCR,Was a little better than what i expected for the price.
IJIKNYSQAE,Extremely easy to install. I've already recommended it to a lot of friends. Great for outside brush piles.
DWB63STKBX,"Not only does it fit a barrel, but I’ve put my kit on to an oil tank that I cut out and had a friend weld. The only draw back is the damper doesn’t let in enough air to get a big fire going needed to get a big boil on the sap. Another thing I’ve noticed is the door is showing some rust, possibly due to the heat from the wood fire.  However, it works well and looks awesome. I would purchase this product again."
ANTM3HBATA,"super hot stove safe for a garage or a barn, gets up to temp fast."
6IHXV2WA9Z,This kit was really easy to install. I used a small barrel and the kit still fit. Looks great in my pallet greenhouse. I love it!
S1LNXG4EI9,Im very happy with the stove kit works real well and it don't smoke. I use it to build a maple syrup evaporater to make syrup
C2ELRJVMZC,"First of all, this is made in China. And its not very good cast iron. Tots of voids and such - clearly the result of poor sand and worn patterns. 

It arrived quickly, but one of the legs that goes between the barrels was broken. Called US stove (per included directions) and was assured a replacement would be sent out immediately. Received it almost 14 days later. And it was the wrong part. Not that it mattered anyway: the between barrel leg kit is too big to match the coupler that is shipped with the kit.

Speaking of too big, the legs really don't fit the curvature of a 55 gallon drum.

Additionally, its pretty obvious that the legs were originally designed to have two bars holding them together, not just a tiny 1/4 inch machine screw and nut. A fender washer is a must for safety. And, be prepared to use a grinder on the legs to get a good finish - lots of flash and such left in place.

Lastly, carefully reading the manufacturers instructions, the stove is not recommended or intended for actual use. Just temporary outdoor use only. Not intended for heating. I guess its for looks only.

Its pretty darn clear to me that this was seriously re-engineered to be a cheap knockoff product of what was originally back in the day an excellent product that was a testament to backyard engineering and DIY craftsmanship.

As you can see from the picture, I did some serious mods to make this effective."
56KAE5YDX9,It was awesome and easy to install looks wonderful thank you .
TPGSRACTLX,"Winter is fast approaching. This is a four year testament review to a barrel kit heater. I purchased everything I needed to put a barrel heater in my shop four years ago and could not be any happier. On the coldest days this system will run you out of my shop. As one can see, I sat the heater on blocks for better air flow, used black stove pipe, and a heater barrel sold here at The Home Depot. I learned that the key to a long lasting system is to apply high heat paint on my stove components and change the pipe and barrel out if pin holes appear. I highly recommend adding 5- 6 inches of dirt (yes dirt) or sand-spread out evenly to the bottom and getting a grate for the wood to sit on. This keeps the heater bottom from burning out prematurely. An old trick used by many wood heating people. The heat is regulated by the damper and the air flow door on the kit. I do not recommend this type of system for indoor applications. The Home Depot sells many quality stoves and triple wall pipe systems for safe in- home use. I highly recommend this simple kit and type of heater solution for those on a budget. Now is the time to get ready for the colder days ahead!"
KNRSJYVQNH,"Nicely built, works well in outdoor shop."
1QZWLB4IPQ,Was a little better than what i expected for the price.
EWZQ4C1DIR,As advertised and here had the best price
QWG2BLFL3X,Good item
3WVH1CTORH,good product.
6C0BV0I4WV,Easy to put together.  The flue should be a little higher & draft at front should be bigger as I had to leave the door open all the time to get enough draft.
2GNEDIPQFA,Rating provided by a verified purchaser
NC3RZOZ3MR,"I have not installed this product yet but it appears to be of sturdy quality,"
VXJ7DES5EB,The kit arrived in good time and was easy to assemble and works very good. One of the legs was broken in half and I had to repair it but after that it was all good.
43ZTCRLKYR,Rating provided by a verified purchaser
VNR0X37FJU,Rating provided by a verified purchaser
2KKI0YDWBL,"I look forward to many years of heating with wood, with this barrel stove kit."
GJ9AKLVJQT,As advertised and here had the best price
AJPZNWX1YW,Good item
UBXQPBNLTT,good product.
HFMJ46LXCJ,Easy to put together.  The flue should be a little higher & draft at front should be bigger as I had to leave the door open all the time to get enough draft.
IPBXICOYWE,Rating provided by a verified purchaser
TQP6IMLLSC,"I have not installed this product yet but it appears to be of sturdy quality,"
FIPYV1ZEOA,The kit arrived in good time and was easy to assemble and works very good. One of the legs was broken in half and I had to repair it but after that it was all good.
XAWSOPVXOC,Rating provided by a verified purchaser
A1FFFBNHDP,Rating provided by a verified purchaser
5NEPSHM4QG,"I look forward to many years of heating with wood, with this barrel stove kit."
LIQBH2GRZU,As advertised and here had the best price
ZKDGEUFXX3,Good item
0CV5KGUD2P,good product.
WHHJ6ZUF9A,Easy to put together.  The flue should be a little higher & draft at front should be bigger as I had to leave the door open all the time to get enough draft.
VWHX8DCPFQ,Rating provided by a verified purchaser
FYKMYWLPKB,"I have not installed this product yet but it appears to be of sturdy quality,"
P0TXYXJZOH,The kit arrived in good time and was easy to assemble and works very good. One of the legs was broken in half and I had to repair it but after that it was all good.
SKARKGFRUM,Rating provided by a verified purchaser
DNOE5ABWM2,Rating provided by a verified purchaser
YWHW2BX90S,"I look forward to many years of heating with wood, with this barrel stove kit."
SL1FSFKFYY,Works great. Very satisfied.
DWLU7IL0UN,Thank you so much it was very easy to use..Already have been using on a daily basic..I will be ordering another for a family member
VJ8PFUM3HQ,Rating provided by a verified purchaser
FSOMYJAOQP,Rating provided by a verified purchaser
VTPEHVGJET,Rating provided by a verified purchaser
OABTP4X4QK,The kit looks very sturdy
XEIEZUDPVE,"i love it we use  it a lot  and it  was fun to  make and install  ,ty so much for  your  fine  work"
WD9BGLPDJF,Rating provided by a verified purchaser
HEARLHL4IK,The kit seems nice although the hinge pins are loose and the assembly directions are not very good but overall not a bad kit for outdoor use.
HF6GGZ2O5X,Rating provided by a verified purchaser
WD8FUTC9ZM,Works good. Fits good. Hardware that came with kit was cheap. Had to build a proper door handle.
HQUBZBHBPI,Overall it met our expectations and came in cheaper than most on the internet but it was missing a bit of hardware (4 nuts and the handle).
DTMKDYY1HI,Good product but doesn't come with pipe to connect add on barrel
CALNCCZQ1K,"It's a well made kit, and easy to understand.   It says 30 gallon to 56 gallon barrels, but if you don't use the largest size barrel, the castings won't fit well to the metal barrel, and you will have to buy heatproof mortar and use it to caulk the openings."
